generation;sosa;id;prenom;nom;sexe;source;nb_infos;nb_evenements;nb_sources;nb_parents;forme_parents;parents_mariage_date;parents_mariage_lieu;profession;sous_titre;titre_noblesse;note_titre_noblesse;nb_notes;nb_notes_longues;infos;nb_err;GeneanetSpider 1.0.13 08/09/2023 à 01:00
1;1;@I00001@;Gregorio;Revest;M;https://gw.geneanet.org/boutch1?lang=fr&n=revest&oc=0&p=gregorio;0;0;0;2;forme2;11 septembre 1836;"Church of St Paul's Shipwreck - Valletta, Malta,";"";"";"";"";1;0;"";0;
2;3;@I00002@;Ubaldesca;Spiteri;F;https://gw.geneanet.org/boutch1?lang=fr&pz=marc&nz=vitelli&p=ubaldesca&n=spiteri;0;0;0;2;forme2;7 septembre 1796;"Church of St Paul's Shipwreck - Valletta, Malta,";"";"";"";"";1;0;"";0;
2;2;@I00003@;Francesco;Reverst;M;https://gw.geneanet.org/boutch1?lang=fr&pz=marc&nz=vitelli&p=francesco&n=reverst;0;0;0;0;;7 septembre 1796;"Church of St Paul's Shipwreck - Valletta, Malta,";"";"REVERS/REVEST/REVERST";"";"";1;0;"";0;
3;6;@I00005@;Vinenco;Spiteri;M;https://gw.geneanet.org/boutch1?lang=fr&pz=marc&nz=vitelli&p=vinenco&n=spiteri;0;0;0;0;;8 novembre 1767;"Our Lady of Safe Haven - Valletta, Malta,";"";"";"";"";1;0;"";0;
3;7;@I00004@;Teodora;Spiteri;F;https://gw.geneanet.org/boutch1?lang=fr&pz=marc&nz=vitelli&p=teodora&n=spiteri&oc=2;0;0;0;2;forme2;8 novembre 1767;"Our Lady of Safe Haven - Valletta, Malta,";"";"";"";"";1;0;"";0;
4;15;@I00006@;Domitilla;Portelli;F;https://gw.geneanet.org/boutch1?lang=fr&pz=marc&nz=vitelli&p=domitilla&n=portelli;0;0;0;0;;21 septembre 1738;"";"";"";"";"";2;0;"@todo note 'Union avec Gregorio Spiteri' de Domitilla Portelli à analyser : 'Adresse: Żebbuġ, Malta, Żebbuġ, Malta'";0;
4;14;@I00007@;Gregorio;Spiteri;M;https://gw.geneanet.org/boutch1?lang=fr&pz=marc&nz=vitelli&p=gregorio&n=spiteri&oc=2;0;0;0;2;forme2;21 septembre 1738;"";"";"";"";"";3;0;"@todo note 'Union avec Domitilla Portelli' de Gregorio Spiteri à analyser : 'Adresse: Żebbuġ, Malta, Żebbuġ, Malta'";0;
5;29;@I00008@;Ubaldesca;Sultana;F;https://gw.geneanet.org/boutch1?lang=fr&pz=marc&nz=vitelli&p=ubaldesca&n=sultana;0;0;0;2;forme2;15 août 1716;"";"";"";"";"";2;0;"@todo note 'Union avec Giovanni Maria Spiteri' de Ubaldesca Sultana à analyser : 'Adresse: Victoria, Malta, Victoria, Malta'";0;
5;28;@I00009@;Giovanni Maria;Spiteri;M;https://gw.geneanet.org/boutch1?lang=fr&pz=marc&nz=vitelli&p=giovanni+maria&n=spiteri&oc=4;2;0;0;2;forme2;15 août 1716;"";"";"";"Giovanni Maria";"";2;0;"- surnom: Giovanni Maria Spiteri Gio Maria
- Né le 20 août 1699
- Décédé
- titre: Giovanni Maria
@todo note 'Union avec Ubaldesca Sultana' de Giovanni Maria Spiteri à analyser : 'Adresse: Victoria, Malta, Victoria, Malta'";0;
6;57;@I00010@;Gioannella;Mercieca;F;https://gw.geneanet.org/boutch1?lang=fr&pz=marc&nz=vitelli&p=gioannella&n=mercieca;2;0;1;0;;23 février 1685;"";"";"";"Gioannella";"";2;0;"- surnom: Gioannella Mercieca Giovanna
- Née vers 1665
- Décédée
- titre: Gioannella
@todo note 'Union avec Vittorio Spiteri' de Gioannella Mercieca à analyser : 'Adresse: Victoria, Malta, Victoria, Malta'";0;
6;59;@I00011@;Alonza;Bigeni;F;https://gw.geneanet.org/boutch1?lang=fr&pz=marc&nz=vitelli&p=alonza&n=bigeni;0;0;0;2;forme2;23 juillet 1679;"La Matrice - Victoria, Malta,";"";"";"";"";1;0;"";0;
6;58;@I00013@;Aloisio;Sultana;M;https://gw.geneanet.org/boutch1?lang=fr&pz=marc&nz=vitelli&p=aloisio&n=sultana;2;0;1;0;;23 juillet 1679;"La Matrice - Victoria, Malta,";"";"";"";"";2;1;"- Né le 10 mai 1655
- Décédé";0;
