id;prenom;nom;url;origine;url_pere;url_mere;date;lieu;debug;GeneanetSpider 1.0.26 18/04/2025 à 01:11
@I00001@;Gregorio;REVEST;https://gw.geneanet.org/boutch1?lang=fr&n=revest&oc=0&p=gregorio;§parents;https://gw.geneanet.org/boutch1?lang=fr&p=francesco&n=reverst;https://gw.geneanet.org/boutch1?lang=fr&p=ubaldesca&n=spiteri;"";"";"* [Francesco Reverst](boutch1?lang=fr&pz=marc&nz=vitelli&p=francesco&n=reverst)";
@I00001@;Gregorio;REVEST;https://gw.geneanet.org/boutch1?lang=fr&n=revest&oc=0&p=gregorio;union1;https://gw.geneanet.org/boutch1?lang=fr&n=revest&oc=0&p=gregorio;https://gw.geneanet.org/boutch1?lang=fr&p=maria+anna&n=debrincat;"11 septembre 1836";"Church of St Paul's Shipwreck - Valletta, Malta,";"* Marié _le 11 septembre 1836, Church of St Paul's Shipwreck - Valletta, Malta,_";
@I00002@;Ubaldesca;SPITERI;https://gw.geneanet.org/boutch1?lang=fr&p=ubaldesca&n=spiteri;§parents;https://gw.geneanet.org/boutch1?lang=fr&p=vinenco&n=spiteri;https://gw.geneanet.org/boutch1?lang=fr&p=teodora&n=spiteri&oc=2;"";"";"* [Vinenco Spiteri](boutch1?lang=fr&pz=marc&nz=vitelli&p=vinenco&n=spiteri)";
@I00002@;Ubaldesca;SPITERI;https://gw.geneanet.org/boutch1?lang=fr&p=ubaldesca&n=spiteri;union1;https://gw.geneanet.org/boutch1?lang=fr&p=francesco&n=reverst;https://gw.geneanet.org/boutch1?lang=fr&p=ubaldesca&n=spiteri;"7 septembre 1796";"Church of St Paul's Shipwreck - Valletta, Malta,";"* Mariée _le 7 septembre 1796, Church of St Paul's Shipwreck - Valletta, Malta,_";
@I00003@;Francesco;REVERST;https://gw.geneanet.org/boutch1?lang=fr&p=francesco&n=reverst;union1;https://gw.geneanet.org/boutch1?lang=fr&p=francesco&n=reverst;https://gw.geneanet.org/boutch1?lang=fr&p=ubaldesca&n=spiteri;"7 septembre 1796";"Church of St Paul's Shipwreck - Valletta, Malta,";"* Marié _le 7 septembre 1796, Church of St Paul's Shipwreck - Valletta, Malta,_";
@I00004@;Teodora;SPITERI;https://gw.geneanet.org/boutch1?lang=fr&p=teodora&n=spiteri&oc=2;§parents;https://gw.geneanet.org/boutch1?lang=fr&p=gregorio&n=spiteri&oc=2;https://gw.geneanet.org/boutch1?lang=fr&p=domitilla&n=portelli;"";"";"* [Gregorio Spiteri](boutch1?lang=fr&pz=marc&nz=vitelli&p=gregorio&n=spiteri&oc=2)";
@I00004@;Teodora;SPITERI;https://gw.geneanet.org/boutch1?lang=fr&p=teodora&n=spiteri&oc=2;union1;https://gw.geneanet.org/boutch1?lang=fr&p=vinenco&n=spiteri;https://gw.geneanet.org/boutch1?lang=fr&p=teodora&n=spiteri&oc=2;"8 novembre 1767";"Our Lady of Safe Haven - Valletta, Malta,";"* Mariée _le 8 novembre 1767, Our Lady of Safe Haven - Valletta, Malta,_";
@I00005@;Vinenco;SPITERI;https://gw.geneanet.org/boutch1?lang=fr&p=vinenco&n=spiteri;union1;https://gw.geneanet.org/boutch1?lang=fr&p=vinenco&n=spiteri;https://gw.geneanet.org/boutch1?lang=fr&p=teodora&n=spiteri&oc=2;"8 novembre 1767";"Our Lady of Safe Haven - Valletta, Malta,";"* Marié _le 8 novembre 1767, Our Lady of Safe Haven - Valletta, Malta,_";
@I00006@;Domitilla;PORTELLI;https://gw.geneanet.org/boutch1?lang=fr&p=domitilla&n=portelli;union1;https://gw.geneanet.org/boutch1?lang=fr&p=gregorio&n=spiteri&oc=2;https://gw.geneanet.org/boutch1?lang=fr&p=domitilla&n=portelli;"21 septembre 1738";"";"* Mariée _le 21 septembre 1738_";
@I00007@;Gregorio;SPITERI;https://gw.geneanet.org/boutch1?lang=fr&p=gregorio&n=spiteri&oc=2;§parents;https://gw.geneanet.org/boutch1?lang=fr&p=giovanni+maria&n=spiteri&oc=4;https://gw.geneanet.org/boutch1?lang=fr&p=ubaldesca&n=sultana;"";"";"* [Giovanni Maria Gio Maria Spiteri](boutch1?lang=fr&pz=marc&nz=vitelli&p=giovanni+maria&n=spiteri&oc=4) 1699-";
@I00007@;Gregorio;SPITERI;https://gw.geneanet.org/boutch1?lang=fr&p=gregorio&n=spiteri&oc=2;union1;https://gw.geneanet.org/boutch1?lang=fr&p=gregorio&n=spiteri&oc=2;https://gw.geneanet.org/boutch1?lang=fr&p=domitilla&n=portelli;"21 septembre 1738";"";"* Marié _le 21 septembre 1738_";
@I00008@;Ubaldesca;SULTANA;https://gw.geneanet.org/boutch1?lang=fr&p=ubaldesca&n=sultana;§parents;https://gw.geneanet.org/boutch1?lang=fr&p=aloisio&n=sultana;https://gw.geneanet.org/boutch1?lang=fr&p=alonza&n=bigeni;"";"";"* [Aloisio Sultana](boutch1?lang=fr&pz=marc&nz=vitelli&p=aloisio&n=sultana) 1655-";
@I00008@;Ubaldesca;SULTANA;https://gw.geneanet.org/boutch1?lang=fr&p=ubaldesca&n=sultana;union1;https://gw.geneanet.org/boutch1?lang=fr&p=giovanni+maria&n=spiteri&oc=4;https://gw.geneanet.org/boutch1?lang=fr&p=ubaldesca&n=sultana;"15 août 1716";"";"* Mariée _le 15 août 1716_";
@I00009@;Giovanni Maria;SPITERI;https://gw.geneanet.org/boutch1?lang=fr&p=giovanni+maria&n=spiteri&oc=4;§parents;https://gw.geneanet.org/boutch1?lang=fr&p=vittorio&n=spiteri;https://gw.geneanet.org/boutch1?lang=fr&p=gioannella&n=mercieca;"";"";"* [Vittorio Spiteri](boutch1?lang=fr&pz=marc&nz=vitelli&p=vittorio&n=spiteri) ca 1655-";
@I00009@;Giovanni Maria;SPITERI;https://gw.geneanet.org/boutch1?lang=fr&p=giovanni+maria&n=spiteri&oc=4;union1;https://gw.geneanet.org/boutch1?lang=fr&p=giovanni+maria&n=spiteri&oc=4;https://gw.geneanet.org/boutch1?lang=fr&p=ubaldesca&n=sultana;"15 août 1716";"";"* Marié _le 15 août 1716_";
@I00010@;Alonza;BIGENI;https://gw.geneanet.org/boutch1?lang=fr&p=alonza&n=bigeni;§parents;https://gw.geneanet.org/boutch1?lang=fr&p=giulio&n=bigeni;https://gw.geneanet.org/boutch1?lang=fr&p=ignazia&n=xerri;"";"";"* [Giulio Bigeni](boutch1?lang=fr&pz=marc&nz=vitelli&p=giulio&n=bigeni)";
@I00010@;Alonza;BIGENI;https://gw.geneanet.org/boutch1?lang=fr&p=alonza&n=bigeni;union1;https://gw.geneanet.org/boutch1?lang=fr&p=aloisio&n=sultana;https://gw.geneanet.org/boutch1?lang=fr&p=alonza&n=bigeni;"23 juillet 1679";"La Matrice - Victoria, Malta,";"* Mariée _le 23 juillet 1679, La Matrice - Victoria, Malta,_";
@I00011@;Aloisio;SULTANA;https://gw.geneanet.org/boutch1?lang=fr&p=aloisio&n=sultana;union1;https://gw.geneanet.org/boutch1?lang=fr&p=aloisio&n=sultana;https://gw.geneanet.org/boutch1?lang=fr&p=alonza&n=bigeni;"23 juillet 1679";"La Matrice - Victoria, Malta,";"* Marié _le 23 juillet 1679, La Matrice - Victoria, Malta,_";
