id;prenom;nom;url;evenement;tag;date;gedcom_date;lieu;notes;tag_ou_type;source;notes_source;GeneanetSpider 1.0.26 18/04/2025 à 01:10
@I00001@;Marguerite;NICOLAS;https://gw.geneanet.org/oollierbolvin?lang=fr&n=nicolas&oc=0&p=marguerite;"Naissance";BIRT;29 janvier 1743;29 JAN 1743;"Boulbon 13";"";"";"";"";
@I00001@;Marguerite;NICOLAS;https://gw.geneanet.org/oollierbolvin?lang=fr&n=nicolas&oc=0&p=marguerite;"Décès";DEAT;1816;1816;"Barbentane 13570";"";"";"";"";
@I00002@;Marie Anne;MAUCHE;https://gw.geneanet.org/oollierbolvin?lang=fr&p=marie+anne&n=mauche;"Naissance";BIRT;1711;1711;"";"";"";"";"";
@I00002@;Marie Anne;MAUCHE;https://gw.geneanet.org/oollierbolvin?lang=fr&p=marie+anne&n=mauche;"Décès";DEAT;1789;1789;"";"";"";"";"";
@I00003@;Jacques;NICOLAS;https://gw.geneanet.org/oollierbolvin?lang=fr&p=jacques&n=nicolas;"Naissance";BIRT;1706;1706;"";"";"";"";"";
@I00003@;Jacques;NICOLAS;https://gw.geneanet.org/oollierbolvin?lang=fr&p=jacques&n=nicolas;"Décès";DEAT;1788;1788;"";"";"";"";"";
@I00004@;Anne;ROCHE;https://gw.geneanet.org/oollierbolvin?lang=fr&p=anne&n=roche;"Naissance";BIRT;1668;1668;"";"";"";"";"";
@I00004@;Anne;ROCHE;https://gw.geneanet.org/oollierbolvin?lang=fr&p=anne&n=roche;"Décès";DEAT;3 mars 1748;3 MAR 1748;"Boulbon 13";"";"";"";"";
@I00005@;Marie Rose;DURAND;https://gw.geneanet.org/oollierbolvin?lang=fr&p=marie+rose&n=durand;"Naissance";BIRT;15 février 1688;15 FEB 1688;"Boulbon 13";"";"";"";"";
@I00005@;Marie Rose;DURAND;https://gw.geneanet.org/oollierbolvin?lang=fr&p=marie+rose&n=durand;"Décès";DEAT;22 janvier 1761;22 JAN 1761;"Boulbon 13";"";"";"";"";
@I00006@;Durand;NICOLAS;https://gw.geneanet.org/oollierbolvin?lang=fr&p=durand&n=nicolas;"Naissance";BIRT;1666;1666;"";"";"";"";"";
@I00006@;Durand;NICOLAS;https://gw.geneanet.org/oollierbolvin?lang=fr&p=durand&n=nicolas;"Décès";DEAT;1734;1734;"";"";"";"";"";
@I00006@;Durand;NICOLAS;https://gw.geneanet.org/oollierbolvin?lang=fr&p=durand&n=nicolas;"Profession";OCCU;;;"";"";"Ménager";"";"";
@I00007@;Jean;MAUCHE;https://gw.geneanet.org/oollierbolvin?lang=fr&p=jean&n=mauche&oc=2;"Naissance";BIRT;1672;1672;"";"";"";"";"";
@I00007@;Jean;MAUCHE;https://gw.geneanet.org/oollierbolvin?lang=fr&p=jean&n=mauche&oc=2;"Décès";DEAT;1731;1731;"";"";"";"";"";
@I00008@;Anne;BENDE;https://gw.geneanet.org/oollierbolvin?lang=fr&p=anne&n=bende;"Décès";DEAT;;;"";"";"Y";"";"";
@I00009@;Honorade;AGNILLIER;https://gw.geneanet.org/oollierbolvin?lang=fr&p=honorade&n=agnillier;"Décès";DEAT;1670;1670;"";"";"";"";"";
@I00010@;Etienne;MAUCHE;https://gw.geneanet.org/oollierbolvin?lang=fr&p=etienne&n=mauche&oc=2;"Décès";DEAT;;;"";"";"Y";"";"";
