generation;sosa;id;prenom;nom;sexe;source;nb_infos;nb_evenements;nb_sources;nb_parents;forme_parents;parents_mariage_date;parents_mariage_lieu;profession;sous_titre;titre_noblesse;note_titre_noblesse;nb_notes;nb_notes_longues;infos;nb_err;GeneanetSpider 1.0.26 18/04/2025 à 01:10
1;1;@I00001@;Marguerite;NICOLAS;F;https://gw.geneanet.org/oollierbolvin?lang=fr&n=nicolas&oc=0&p=marguerite;2;0;1;2;forme2;9 février 1767;"Boulbon 13,";"";"";"";"";0;0;"- Née le 29 janvier 1743 - Boulbon 13
- Décédée en 1816 - Barbentane 13570, à l'âge de 73 ans";0;
2;3;@I00002@;Marie Anne;MAUCHE;F;https://gw.geneanet.org/oollierbolvin?lang=fr&p=marie+anne&n=mauche;2;0;0;2;forme2;28 septembre 1733;"";"";"";"";"";0;0;"- Née en 1711
- Décédée en 1789, à l'âge de 78 ans";0;
2;2;@I00003@;Jacques;NICOLAS;M;https://gw.geneanet.org/oollierbolvin?lang=fr&p=jacques&n=nicolas;2;0;0;2;forme2;28 septembre 1733;"";"";"";"";"";0;0;"- Né en 1706
- Décédé en 1788, à l'âge de 82 ans";0;
3;5;@I00004@;Anne;ROCHE;F;https://gw.geneanet.org/oollierbolvin?lang=fr&p=anne&n=roche;2;0;0;2;forme2;18 janvier 1693;"Barbentane 13570,";"";"";"";"";0;0;"- Née en 1668
- Décédée le 3 mars 1748 - Boulbon 13, à l'âge de 80 ans";0;
3;7;@I00005@;Marie Rose;DURAND;F;https://gw.geneanet.org/oollierbolvin?lang=fr&p=marie+rose&n=durand;2;0;1;2;forme2;10 juin 1710;"St Pierre de Mézoargues 13,";"";"";"";"";0;0;"- Née le 15 février 1688 - Boulbon 13
- Décédée le 22 janvier 1761 - Boulbon 13, à l'âge de 72 ans";0;
3;4;@I00006@;Durand;NICOLAS;M;https://gw.geneanet.org/oollierbolvin?lang=fr&p=durand&n=nicolas;3;0;0;2;forme2;18 janvier 1693;"Barbentane 13570,";"Ménager";"";"";"";0;0;"- Né en 1666
- Décédé en 1734, à l'âge de 68 ans
- Ménager";0;
3;6;@I00007@;Jean;MAUCHE;M;https://gw.geneanet.org/oollierbolvin?lang=fr&p=jean&n=mauche&oc=2;2;0;1;2;forme2;10 juin 1710;"St Pierre de Mézoargues 13,";"";"";"";"";0;0;"- Né en 1672
- Décédé en 1731, à l'âge de 59 ans";0;
4;13;@I00008@;Anne;BENDE;F;https://gw.geneanet.org/oollierbolvin?lang=fr&p=anne&n=bende;1;0;1;0;;;"";"";"";"";"";0;0;"- Décédée";0;
4;9;@I00009@;Honorade;AGNILLIER;F;https://gw.geneanet.org/oollierbolvin?lang=fr&p=honorade&n=agnillier;1;0;0;0;;;"";"";"";"";"";0;0;"- Décédée en 1670";0;
4;12;@I00010@;Etienne;MAUCHE;M;https://gw.geneanet.org/oollierbolvin?lang=fr&p=etienne&n=mauche&oc=2;1;0;1;0;;;"";"";"";"";"";0;0;"- Décédé";0;
4;8;@I00011@;François;NICOLAS;M;https://gw.geneanet.org/oollierbolvin?lang=fr&p=francois&n=nicolas;2;0;0;2;forme2;;"";"";"";"";"";0;0;"- Né en 1634 - Barbentane 13570
- Décédé";0;
4;15;@I00012@;Espérite;GILLES;F;https://gw.geneanet.org/oollierbolvin?lang=fr&p=esperite&n=gilles;2;0;0;2;forme2;1er février 1682;"Boulbon 13,";"";"";"";"";0;0;"- Née en 1651
- Décédée en 1693, à l'âge de 42 ans";0;
4;11;@I00013@;Delphine;GRILLETTE;F;https://gw.geneanet.org/oollierbolvin?lang=fr&p=delphine&n=grillette;1;0;0;0;;;"";"";"";"";"";0;0;"- Décédée en 1691 - Barbentane 13570";0;
4;10;@I00014@;Sébastien;ROCHE;M;https://gw.geneanet.org/oollierbolvin?lang=fr&p=sebastien&n=roche;1;0;0;0;;;"";"";"";"";"";0;0;"- Décédé en 1715 - Barbentane 13570";0;
4;14;@I00015@;Jean;DURAND;M;https://gw.geneanet.org/oollierbolvin?lang=fr&p=jean&n=durand&oc=2;2;0;0;2;forme2;1er février 1682;"Boulbon 13,";"";"";"";"";0;0;"- Né en 1659
- Décédé";0;
5;29;@I00016@;Françoise;BURAVAND;F;https://gw.geneanet.org/oollierbolvin?lang=fr&p=francoise&n=buravand;2;0;0;2;forme2;22 février 1649;"Boulbon 13,";"";"";"";"";0;0;"- Née en 1621 - Boulbon 13
- Décédée le 23 janvier 1701 - Boulbon 13, à l'âge de 80 ans";0;
5;31;@I00017@;Magdeleine;TISSOT;F;https://gw.geneanet.org/oollierbolvin?lang=fr&p=magdeleine&n=tissot;2;0;0;2;forme2;17 avril 1633;"Boulbon 13,";"";"";"";"";1;0;"- Née vers 1608 - Boulbon 13
- Décédée le 11 août 1688 - Boulbon 13, à l'âge d'environ 80 ans";0;
5;28;@I00018@;Nicolas;DURAND;M;https://gw.geneanet.org/oollierbolvin?lang=fr&p=nicolas&n=durand&oc=1;3;0;0;2;forme2;22 février 1649;"Boulbon 13,";"Consul, ménager";"";"";"";0;0;"- Né en 1622 - Boulbon 13
- Décédé le 5 octobre 1676 - Boulbon 13, à l'âge de 54 ans
- Consul, ménager";0;
5;30;@I00019@;Barthélémy;GILLES;M;https://gw.geneanet.org/oollierbolvin?lang=fr&p=barthelemy&n=gilles;3;0;0;2;forme2;17 avril 1633;"Boulbon 13,";"Ménager";"";"";"";1;0;"- Né vers 1609 - Boulbon 13
- Décédé le 2 octobre 1669 - Boulbon 13, à l'âge d'environ 60 ans
- Ménager";0;
5;17;@I00020@;Françoise;VERCOT;F;https://gw.geneanet.org/oollierbolvin?lang=fr&p=francoise&n=vercot;2;0;2;2;forme2;18 octobre 1633;"Barbentane 13570,";"";"";"";"";0;0;"- Née le 17 février 1609 - Barbentane 13570
- Décédée le 10 décembre 1673 - Boulbon 13, à l'âge de 64 ans";0;
5;16;@I00021@;Pierre;NICOLAS OU NICOULAUD;M;https://gw.geneanet.org/oollierbolvin?lang=fr&p=pierre&n=nicolas+ou+nicoulaud;2;0;2;2;forme2;18 octobre 1633;"Barbentane 13570,";"";"";"";"";1;0;"- Né le 18 octobre 1612 - Barbentane, 13010, Bouches du Rhône, Provence-Alpes-Côte d'Azur, France
- Décédé le 20 octobre 1689 - Barbentane 13570, à l'âge de 77 ans";0;
6;33;@I00022@;Anne;JAUSSERAND OU JAUSSAUD;F;https://gw.geneanet.org/oollierbolvin?lang=fr&p=anne&n=jausserand+ou+jaussaud;1;0;0;0;;;"";"";"";"";"";0;0;"- Décédée";0;
6;32;@I00023@;Durand dit Ageteste;NICOLAS OU MICOULAUD;M;https://gw.geneanet.org/oollierbolvin?lang=fr&p=durand+dit+ageteste&n=nicolas+ou+micoulaud;1;0;0;0;;;"";"";"";"";"";0;0;"- Décédé en 1626 - Barbentane 13570";0;
6;35;@I00024@;Catherine;COLOMBIN;F;https://gw.geneanet.org/oollierbolvin?lang=fr&p=catherine&n=colombin;1;0;0;0;;1605;"";"";"";"";"";0;0;"- Décédée en 1650";0;
6;34;@I00025@;Thomas;VERCOT;M;https://gw.geneanet.org/oollierbolvin?lang=fr&p=thomas&n=vercot;1;0;0;0;;1605;"";"";"";"";"";0;0;"- Décédé en 1616";0;
6;60;@I00026@;Pierre;GILLES;M;https://gw.geneanet.org/oollierbolvin?lang=fr&p=pierre&n=gilles;2;0;0;0;;vers 1615;"";"";"";"";"";1;0;"- Né vers 1555
- Décédé le 20 avril 1639 - Boulbon 13, à l'âge d'environ 84 ans";0;
6;57;@I00027@;Catherine;BOURGES;F;https://gw.geneanet.org/oollierbolvin?lang=fr&p=catherine&n=bourges;2;0;0;2;forme2;25 septembre 1622;"Boulbon 13,";"";"";"";"";0;0;"- Née en 1597 - Boulbon 13
- Décédée le 20 septembre 1665 - Boulbon 13, à l'âge de 68 ans";0;
6;61;@I00028@;Marguerite;JAUFFRET;F;https://gw.geneanet.org/oollierbolvin?lang=fr&p=marguerite&n=jauffret;2;0;0;2;forme2;vers 1615;"";"";"";"";"";0;0;"- Née avant 1565
- Décédée avant 1633";0;
6;63;@I00029@;Jeanne;TREBILLON;F;https://gw.geneanet.org/oollierbolvin?lang=fr&p=jeanne&n=trebillon;2;0;0;2;forme2;5 mai 1602;"Vallabrègues, 30336, Gard, Languedoc-Roussillon, France,";"";"";"";"";2;1;"- Née en 1575 - Vallabrègues, 30336, Gard, Languedoc-Roussillon, France
- Décédée avant 1637
@todo note 'Union avec Balthazar TISSOT' de Jeanne TREBILLON à analyser : 'contrat de mariage'";0;
6;59;@I00030@;Jeanne;FRÉDIÈRE;F;https://gw.geneanet.org/oollierbolvin?lang=fr&p=jeanne&n=frediere&oc=1;2;0;0;2;forme2;24 août 1608;"Boulbon 13,";"";"";"";"";0;0;"- Née en 1590
- Décédée le 25 juillet 1648 - Boulbon 13, à l'âge de 58 ans";0;
6;62;@I00031@;Balthazar;TISSOT;M;https://gw.geneanet.org/oollierbolvin?lang=fr&p=balthazar&n=tissot;3;0;0;2;forme2;5 mai 1602;"Vallabrègues, 30336, Gard, Languedoc-Roussillon, France,";"Laboureur (1602)";"";"";"";3;1;"- Né entre 1565 et 1571 - Boulbon 13
- Décédé le 3 septembre 1646 - Boulbon 13
- Laboureur (1602)
@todo note 'Union avec Jeanne TREBILLON' de Balthazar TISSOT à analyser : 'contrat de mariage'";0;
